#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
18  364000  165.18226601942558  5     0.007356125944908801     4.279637045993878e+49     3.886101105365003e+49     1.183480084231856e+50     2.000053899367744e+50
19  367000  166.6600985318269  5     0.007403127273053056     4.306427543361308e+49     3.8716028152172874e+49     1.1825354416785386e+50     2.000338477536398e+50
20  369000  167.64532020676108  5     0.007423741889627629     4.3497652284698404e+49     3.8482074413799234e+49     1.1822987656724253e+50     2.0020960326574017e+50
21  371000  168.63054188169528  5     0.007448265396969507     4.357220178168265e+49     3.8318182584416345e+49     1.1813713627707778e+50     2.0002752064317676e+50
22  374000  170.10837439409656  5     0.007464986101484026     4.34796302871157e+49     3.7704083305871175e+49     1.1784476366621645e+50     1.990284772592033e+50
23  376000  171.09359606903075  5     0.007461677494463392     4.320685075903669e+49     3.777203163975982e+49     1.1742044139891736e+50     1.983993237977139e+50
24  378000  172.07881774396495  5     0.007500418717609495     4.352504066961572e+49     3.8108980845238167e+49     1.1754001790252421e+50     1.991740394173781e+50
25  380000  173.06403941889914  5     0.007527466309598764     4.3297979289390243e+49     3.787623429105464e+49     1.1676401941163982e+50     1.979382329920847e+50
26  382000  174.04926109383334  5     0.007508078681634631     4.2797299489993215e+49     3.727303857552186e+49     1.1634655319141829e+50     1.9641689125693337e+50
27  384000  175.03448276876753  5     0.007521615577053695     4.2564985534465584e+49     3.664829890376645e+49     1.1616262567382444e+50     1.953759101120565e+50
28  386000  176.01970444370173  5     0.007532992616059112     4.299214945059697e+49     3.577244180834628e+49     1.162220712522985e+50     1.949866625112417e+50
29  388000  177.00492611863592  5     0.007591583171064142     4.382055177110684e+49     3.5381701462036127e+49     1.168834902403082e+50     1.9608574347345117e+50
30  390000  177.99014779357012  5     0.00766314631692917     4.4539851852762336e+49     3.5458702414654434e+49     1.1789325764554571e+50     1.9789181191296246e+50
31  392000  178.9753694685043  5     0.007753089982511002     4.536578368788538e+49     3.559499382290739e+49     1.1894678565866438e+50     1.9990756316945717e+50
32  394000  179.9605911434385  5     0.00782050240565184     4.6256284331944843e+49     3.5618708203402537e+49     1.1943306903981066e+50     2.0130806157515805e+50
33  396000  180.9458128183727  5     0.007878555372348635     4.680835707250448e+49     3.5893089586319667e+49     1.1954375629468058e+50     2.0224520295350475e+50
34  398000  181.9310344933069  5     0.007905910269705392     4.731658156909347e+49     3.5681397995271085e+49     1.1945590690894659e+50     2.024538864733111e+50
35  398000  181.9310344933069  5     0.007905910280349883     4.731657714853485e+49     3.568141141690619e+49     1.1945590071010124e+50     2.0245388927554227e+50
36  399000  182.42364533077398  5     0.007918613999879046     4.762708749907376e+49     3.579325185791939e+49     1.1939738782692005e+50     2.028177271839132e+50
37  401000  183.40886700570817  5     0.00791358244766098     4.771190189794599e+49     3.558755952751399e+49     1.190117754324476e+50     2.023112368579076e+50
38  403000  184.39408868064237  5     0.007944106714803252     4.813081618221692e+49     3.564815591693938e+49     1.1886361977233323e+50     2.0264259187148955e+50
39  405000  185.37931035557656  5     0.007995822082024364     4.898126462278035e+49     3.5960151532937446e+49     1.192178522352502e+50     2.04159268390968e+50
40  407000  186.36453203051076  5     0.008056690577202387     4.989569180466928e+49     3.5907647628089047e+49     1.1953591631080029e+50     2.053392557435586e+50
41  409000  187.34975370544495  5     0.008104922572988987     5.06304235158785e+49     3.585657644652125e+49     1.1984178038756648e+50     2.063287803499662e+50
42  411000  188.33497538037915  5     0.008138340390631427     5.143969588762698e+49     3.5365481989019907e+49     1.1992655281977745e+50     2.0673173069642433e+50
44  413000  189.32019705531334  5     0.0082056925810358     5.26443676582836e+49     3.504593690175265e+49     1.203335239589128e+50     2.0802382851894905e+50
45  415000  190.30541873024754  5     0.008276808694798536     5.333070592904139e+49     3.531566161755187e+49     1.206800020050648e+50     2.0932636955165807e+50
46  417000  191.29064040518173  5     0.008327700774882435     5.397209634510952e+49     3.521888456717474e+49     1.2099600101149954e+50     2.101869819237838e+50
47  418000  191.78325124264884  5     0.008364299313618878     5.443743204553037e+49     3.5249575832908863e+49     1.214188634095035e+50     2.1110587128794275e+50
