#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
63  228000  98.18719212390035  5     0.003108957398056588     1.9097063575068106e+49     2.0539901431332914e+49     6.591957447372896e+49     1.0555653948012998e+50
64  231000  99.66502463630164  5     0.003533344661807093     2.3828610660488026e+49     2.324506791687186e+49     7.107043443245693e+49     1.1814411300981681e+50
65  234000  101.14285714870293  5     0.0037746515084082985     2.6471392953682835e+49     2.51355800318511e+49     7.38736423575781e+49     1.2548061534311205e+50
66  236000  102.12807882363713  5     0.003845898162318498     2.782149075136516e+49     2.5134605491037793e+49     7.468785134142247e+49     1.2764394758382543e+50
67  238000  103.11330049857132  5     0.003946757405675735     2.9077254779673125e+49     2.559089197477288e+49     7.552066611764976e+49     1.3018881287209576e+50
68  241000  104.59113301097261  5     0.0039847573829933855     2.8381436491287525e+49     2.5947232612124733e+49     7.559380198962281e+49     1.2992247109303506e+50
69  243000  105.57635468590681  5     0.00403055753236989     2.774370923758564e+49     2.606562224468525e+49     7.574466587087811e+49     1.29553997353149e+50
70  243000  105.57635468590681  5     0.00403055753236989     2.774370923758564e+49     2.606562224468525e+49     7.574466587087811e+49     1.29553997353149e+50
71  245000  106.561576360841  5     0.004051151684254992     2.717737711220511e+49     2.5365132865577566e+49     7.610962765191642e+49     1.2865213762969908e+50
72  247000  107.5467980357752  5     0.004097184715502931     2.725167397019937e+49     2.47768314288097e+49     7.727785825581532e+49     1.293063636548244e+50
73  249000  108.53201971070939  5     0.004176474358632555     2.755274486640032e+49     2.4093038179534905e+49     7.901176929730677e+49     1.3065755234324199e+50
74  251000  109.51724138564359  5     0.004215684672061454     2.7168665909234473e+49     2.3429660775808726e+49     7.986505079814293e+49     1.3046337748318612e+50
75  252000  110.00985222311068  5     0.0042518399197824545     2.7291013047795035e+49     2.317367389969105e+49     8.029836364849838e+49     1.3076305059598447e+50
76  254000  110.99507389804488  5     0.004363565030579935     2.7948026064096754e+49     2.3565588528145866e+49     8.157827299111648e+49     1.330918875833591e+50
77  256000  111.98029557297907  5     0.004476861687248371     2.832474497309217e+49     2.3958537882479237e+49     8.252994554370609e+49     1.348132283992775e+50
