#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
67  238000  103.11330049857132  6     0.004082894819401712     3.0734189986371726e+49     2.6490580771936483e+49     7.751722687454928e+49     1.3474199763285748e+50
68  241000  104.59113301097261  6     0.004109019922271992     2.994163213783321e+49     2.680062732756513e+49     7.745846934143438e+49     1.342007288068327e+50
69  243000  105.57635468590681  6     0.004171126325253789     2.9460193382588015e+49     2.7015668023688947e+49     7.770941820430655e+49     1.3418527961058351e+50
70  243000  105.57635468590681  6     0.004171126325253789     2.9460193382588015e+49     2.7015668023688947e+49     7.770941820430655e+49     1.3418527961058351e+50
71  245000  106.561576360841  6     0.004173015640720473     2.8678453621457113e+49     2.608093236364237e+49     7.78669659664144e+49     1.326263519515139e+50
72  247000  107.5467980357752  6     0.004233941722310948     2.8919211051517534e+49     2.5569603251209886e+49     7.912741053581249e+49     1.336162248385399e+50
73  249000  108.53201971070939  6     0.004325872788523435     2.93759999895857e+49     2.500347110531639e+49     8.095130813603157e+49     1.3533077923093366e+50
74  251000  109.51724138564359  6     0.004352152272692379     2.884975890790744e+49     2.4177345033589636e+49     8.167206338828575e+49     1.3469916732978282e+50
75  252000  110.00985222311068  6     0.004404442246129973     2.9111303737715695e+49     2.400580223650857e+49     8.227661742810533e+49     1.353937234023296e+50
76  254000  110.99507389804488  6     0.0045171095247147535     2.9705983288680275e+49     2.445178781616491e+49     8.360819676646399e+49     1.3776596787130917e+50
77  256000  111.98029557297907  6     0.0046396242601395195     3.0208812940616413e+49     2.492727442036191e+49     8.468517967774595e+49     1.3982126703872429e+50
78  257000  112.47290641044617  6     0.004688368987531654     3.034861143171511e+49     2.50688047837986e+49     8.510697847944287e+49     1.4052439469495657e+50
79  259000  113.45812808538037  6     0.004744010579520043     3.0125193647855846e+49     2.5316483626588216e+49     8.549284270952554e+49     1.4093451998396958e+50
80  260000  113.95073892284746  6     0.004761652105836084     3.002966827642928e+49     2.527223667207073e+49     8.567688918477751e+49     1.409787941332775e+50
81  262000  114.93596059778166  6     0.004835462855326675     3.041071640671341e+49     2.554337144347609e+49     8.61969856272476e+49     1.421510734774371e+50
82  263000  115.42857143524876  6     0.004897424755082199     3.073912971337016e+49     2.6036893031185755e+49     8.669315252758266e+49     1.4346917527213855e+50
83  264000  115.92118227271585  6     0.004908188437021996     3.0427129613261174e+49     2.619560415761648e+49     8.681751381215353e+49     1.4344024758303117e+50
84  265000  116.41379311018295  6     0.004887401143086166     2.9871381636823146e+49     2.586545343385047e+49     8.672817158743081e+49     1.4246500665810442e+50
85  267000  117.39901478511715  6     0.004831944218068858     2.883230122495292e+49     2.502184436397858e+49     8.63935165883259e+49     1.402476621772574e+50
86  268000  117.89162562258424  6     0.0048373469330765815     2.884098100397499e+49     2.459628445642157e+49     8.65089051073316e+49     1.3994617056772818e+50
87  269000  118.38423646005134  6     0.004851871878452564     2.8985402714887693e+49     2.4174114036913207e+49     8.683523756396351e+49     1.399947543157644e+50
88  270000  118.87684729751844  6     0.004901703047036952     2.9566551974176747e+49     2.39430189679044e+49     8.752117865558102e+49     1.4103074959766217e+50
89  271000  119.36945813498554  6     0.004980090178343914     3.0683020445940527e+49     2.416381051687502e+49     8.854186177535683e+49     1.433886927381724e+50
90  272000  119.86206897245263  6     0.005060953332623789     3.1672768403490993e+49     2.443461527209551e+49     8.959299049228139e+49     1.457003741678679e+50
91  274000  120.84729064738683  6     0.005184643520440017     3.313215882787523e+49     2.4703399227150683e+49     9.160676108225722e+49     1.4944231913728312e+50
92  274000  120.84729064738683  6     0.005183222563089946     3.311889358712183e+49     2.4713706719199277e+49     9.158355419073747e+49     1.4941615449705856e+50
93  277000  122.32512315978812  6     0.005247199862665864     3.3181512916808597e+49     2.489479391836733e+49     9.29936919649773e+49     1.5106999880015322e+50
94  279000  123.31034483472231  6     0.005299392098508881     3.366064909431938e+49     2.4527552594143633e+49     9.391717342645893e+49     1.5210537511492195e+50
95  280000  123.80295567218941  6     0.005326671571227409     3.3788560063600246e+49     2.4654524928991874e+49     9.445905010361679e+49     1.529021350962089e+50
96  282000  124.78817734712361  6     0.0053584518861558685     3.373224207991607e+49     2.4602840542985165e+49     9.516241546099404e+49     1.5349749808389526e+50
97  283000  125.2807881845907  6     0.005387044920164652     3.3940631724908194e+49     2.4571067316277726e+49     9.560548819923143e+49     1.5411718724041735e+50
98  285000  126.2660098595249  6     0.005468860042933913     3.489295194345473e+49     2.4604635396386107e+49     9.708797120373565e+49     1.5658555854357648e+50
99  286000  126.758620696992  6     0.005496113259110517     3.5151285877548634e+49     2.459203779390589e+49     9.7781707877426e+49     1.5752503154888052e+50
100  287000  127.25123153445908  6     0.005515407574227908     3.5167645339398086e+49     2.473055086263206e+49     9.827714300918153e+49     1.5817533921121166e+50
101  289000  128.2364532093933  6     0.005604589178446255     3.5632417504349073e+49     2.532548056933532e+49     1.0008370128122708e+50     1.6104159935491147e+50
102  290000  128.72906404686037  6     0.005637957004708549     3.5730822050298245e+49     2.5561393729367605e+49     1.0077322751518478e+50     1.6206544329485063e+50
103  292000  129.71428572179457  6     0.005713446085734428     3.640567679671642e+49     2.573173382736406e+49     1.0241031224547813e+50     1.6454772286955861e+50
104  294000  130.69950739672876  6     0.005764081193977604     3.6955064408874586e+49     2.5528177141321395e+49     1.040250823862672e+50     1.6650832393646317e+50
105  296000  131.68472907166296  6     0.005809249408058781     3.746585492419111e+49     2.546165405500983e+49     1.0525650737221214e+50     1.6818401635141308e+50
106  298000  132.66995074659715  6     0.0058425193663763746     3.7362878678000384e+49     2.566699983523796e+49     1.0575874740143345e+50     1.687886259146718e+50
